
double dx 1
bool fixed_width_bins true
int l 0
int m 0
int ndata 800
bool realpart true
bool spherical_harmonic true
double xoffset 0.5
matrix_double ydy_datablock {
3.91755e-54 0.00316228 
2.57029e-17 0.00316228 
4.35745e-10 0.00316228 
4.85308e-07 0.00316228 
2.2437e-05 0.00316231 
0.000246547 0.00316267 
0.00126089 0.00316427 
0.00407956 0.00316872 
0.00985205 0.00317782 
0.0195024 0.00319296 
0.0336026 0.00321497 
0.0521189 0.00324364 
0.0749729 0.00327868 
0.10152 0.00331891 
0.131802 0.00336423 
0.163798 0.00341145 
0.197654 0.00346071 
0.233053 0.00351148 
0.269286 0.0035627 
0.305388 0.00361302 
0.3419 0.00366319 
0.378253 0.00371248 
0.413328 0.00375943 
0.448301 0.00380565 
0.481177 0.00384861 
0.515061 0.00389238 
0.546131 0.00393209 
0.574625 0.00396815 
0.604804 0.004006 
0.631807 0.00403956 
0.658931 0.004073 
0.68265 0.00410201 
0.708689 0.00413363 
0.729911 0.00415922 
0.750895 0.00418437 
0.771415 0.00420882 
0.790231 0.00423111 
0.808371 0.00425249 
0.823935 0.00427075 
0.840001 0.00428952 
0.854797 0.00430674 
0.867676 0.00432166 
0.881176 0.00433725 
0.8939 0.0043519 
0.904751 0.00436435 
0.914334 0.00437531 
0.924323 0.00438671 
0.933243 0.00439687 
0.941746 0.00440652 
0.94877 0.00441449 
0.956609 0.00442336 
0.962883 0.00443044 
0.96827 0.00443652 
0.974342 0.00444336 
0.97843 0.00444796 
0.983037 0.00445313 
0.987302 0.00445792 
0.990197 0.00446116 
0.994293 0.00446575 
0.997335 0.00446915 
1.00029 0.00447246 
1.00239 0.0044748 
1.00497 0.00447769 
1.00668 0.0044796 
1.00856 0.0044817 
1.01013 0.00448345 
1.0115 0.00448497 
1.01215 0.0044857 
1.01311 0.00448677 
1.01373 0.00448746 
1.01453 0.00448835 
1.0151 0.00448899 
1.01502 0.0044889 
1.0158 0.00448977 
1.01621 0.00449023 
1.01591 0.00448989 
1.01615 0.00449015 
1.01636 0.00449039 
1.01585 0.00448982 
1.01596 0.00448995 
1.01597 0.00448995 
1.01561 0.00448955 
1.01544 0.00448936 
1.01513 0.00448902 
1.01477 0.00448862 
1.01448 0.0044883 
1.01412 0.00448789 
1.01379 0.00448753 
1.01351 0.00448721 
1.01328 0.00448695 
1.01279 0.00448642 
1.01241 0.00448598 
1.01227 0.00448584 
1.01197 0.00448549 
1.01119 0.00448463 
1.01099 0.0044844 
1.01052 0.00448389 
1.01027 0.0044836 
1.00976 0.00448304 
1.00953 0.00448277 
1.00913 0.00448234 
1.0088 0.00448197 
1.00843 0.00448156 
1.00825 0.00448135 
1.00821 0.0044813 
1.00761 0.00448064 
1.00714 0.00448011 
1.00689 0.00447984 
1.00681 0.00447975 
1.00661 0.00447952 
1.00641 0.0044793 
1.00605 0.00447889 
1.00582 0.00447864 
1.0057 0.00447851 
1.00535 0.00447812 
1.00526 0.00447801 
1.00497 0.00447769 
1.00484 0.00447754 
1.00452 0.00447719 
1.00455 0.00447722 
1.00427 0.00447691 
1.00425 0.00447688 
1.0039 0.00447649 
1.00364 0.00447621 
1.0037 0.00447627 
1.00356 0.00447611 
1.00341 0.00447595 
1.0033 0.00447582 
1.00322 0.00447574 
1.003 0.00447549 
1.00302 0.00447551 
1.00296 0.00447544 
1.00279 0.00447526 
1.00266 0.00447511 
1.00269 0.00447515 
1.00264 0.00447509 
1.00248 0.00447491 
1.00244 0.00447486 
1.00222 0.00447462 
1.00227 0.00447467 
1.00221 0.0044746 
1.00217 0.00447456 
1.00206 0.00447444 
1.00196 0.00447433 
1.00193 0.00447429 
1.00176 0.0044741 
1.0017 0.00447403 
1.00164 0.00447397 
1.00169 0.00447403 
1.00158 0.0044739 
1.00158 0.00447391 
1.00149 0.0044738 
1.00149 0.0044738 
1.00146 0.00447377 
1.00139 0.00447369 
1.00137 0.00447367 
1.0013 0.00447359 
1.00131 0.0044736 
1.00127 0.00447355 
1.00123 0.00447351 
1.0012 0.00447348 
1.00112 0.00447339 
1.00116 0.00447343 
1.00109 0.00447336 
1.00102 0.00447328 
1.00104 0.00447329 
1.00109 0.00447336 
1.00097 0.00447322 
1.00086 0.0044731 
1.00099 0.00447324 
1.00085 0.00447309 
1.00084 0.00447308 
1.0009 0.00447315 
1.00077 0.004473 
1.0008 0.00447303 
1.00079 0.00447302 
1.0008 0.00447303 
1.0007 0.00447292 
1.00078 0.00447301 
1.00073 0.00447295 
1.00069 0.00447291 
1.00076 0.00447299 
1.00066 0.00447288 
1.00066 0.00447287 
1.00063 0.00447284 
1.0006 0.0044728 
1.00054 0.00447274 
1.00057 0.00447277 
1.0006 0.00447281 
1.00048 0.00447267 
1.00057 0.00447277 
1.00063 0.00447284 
1.00056 0.00447276 
1.00058 0.00447279 
1.00051 0.0044727 
1.00049 0.00447268 
1.00048 0.00447267 
1.00046 0.00447265 
1.00044 0.00447262 
1.00045 0.00447264 
1.00042 0.00447261 
1.00043 0.00447261 
1.00041 0.00447259 
1.00039 0.00447257 
1.00038 0.00447256 
1.00035 0.00447253 
1.0004 0.00447258 
1.00043 0.00447262 
1.0004 0.00447259 
1.00036 0.00447253 
1.00035 0.00447253 
1.00037 0.00447255 
1.00038 0.00447256 
1.00035 0.00447252 
1.00033 0.00447251 
1.00033 0.00447251 
1.00036 0.00447253 
1.00035 0.00447252 
1.00029 0.00447246 
1.00029 0.00447246 
1.00029 0.00447246 
1.00028 0.00447244 
1.00032 0.0044725 
1.00029 0.00447246 
1.00027 0.00447244 
